pid,worker,iteration,target,best_target,acq_params,TUNABLE_WEIGHT,TUNABLE_LEARNING_RATE
39195,2,3,-75327.26034665223,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",37.348290700089876,2.599580591937247e-05
39194,3,3,-71317.10864161402,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",99831.14940681234,1.1190536191191558e-05
39192,4,3,-75375.9065064719,-72179.86490852451,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",95822.02242800084,9.78765737234837
39191,5,3,-73233.33806811113,-72179.86490852451,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",96519.90176278078,9.127513549329079
42802,0,4,-71799.145500688,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",33.15614472023102,3.301150868685642e-05
42803,1,4,-75819.7686467333,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",80026.80768519285,6.303203290939813
42804,2,4,-74758.4219060424,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",99771.02889346897,6.020278082620472
42806,3,4,-73648.39891382218,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",96949.741902498,5.935053685077882
42805,4,4,-76256.29234293582,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",97387.80243295658,6.208198411815193
42807,5,4,-75342.05194831928,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.1565492434048121,9.177760970119795
43668,0,5,-75849.98147376435,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 36, 'kappa': 5.011872336272723, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",83929.63131167993,4.400514556273862
43671,1,5,-73476.1889748083,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 36, 'kappa': 5.011872336272723, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",92097.30683700457,4.124325775163178
43669,2,5,-74311.82737836985,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 36, 'kappa': 5.011872336272723, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",81149.79796305415,4.097505301559088
43667,3,5,-77070.50186671919,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 36, 'kappa': 5.011872336272723, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",89493.80861308923,3.863327382214074
43666,4,5,-75065.63379032636,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 36, 'kappa': 5.011872336272723, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",19.533175563116362,3.1393286734149766e-05
43670,5,5,-72734.28406322023,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 36, 'kappa': 5.011872336272723, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",17.26967707248102,2.212141676986376e-05
44424,0,6,-76130.29878817096,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 42, 'kappa': 4.466835921509629, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",49994.60454036525,4.19813322401674
44421,1,6,-73419.2920556581,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 42, 'kappa': 4.466835921509629, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",37.69821727462909,4.7481509619774855e-05
44422,2,6,-69172.55475510251,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 42, 'kappa': 4.466835921509629, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",35.473058829028716,5.283258724579343e-05
44425,3,6,-73923.60310666254,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 42, 'kappa': 4.466835921509629, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",33.6890067790947,5.292808208034733e-05
44423,4,6,-76213.62292573221,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 42, 'kappa': 4.466835921509629, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",85767.62876790306,4.04702086863895
44420,5,6,-77335.3695288618,-71317.10864161402,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 42, 'kappa': 4.466835921509629, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",81773.14312358115,4.16722020853158
45238,0,7,-75716.90645471505,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 48, 'kappa': 3.981071705534971, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",59452.954284534484,3.024138663471962
45234,1,7,-77289.47632277619,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 48, 'kappa': 3.981071705534971, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",66355.94691785573,3.193159527352547
45237,2,7,-76953.59168445255,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 48, 'kappa': 3.981071705534971, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",72468.78550229428,2.884837455919932
45236,3,7,-74931.47732824812,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 48, 'kappa': 3.981071705534971, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",68968.14788260912,3.2715534424009634
45239,4,7,-78149.7014783422,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 48, 'kappa': 3.981071705534971, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",61214.10989463216,3.261308103696907
45235,5,7,-72735.02036411793,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 48, 'kappa': 3.981071705534971, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",52919.15087048375,3.476852471024054
46173,0,8,-77323.4426164262,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 54, 'kappa': 3.5481338923357533, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",46.64558975750682,6.92944635725668e-05
46171,1,8,-75500.62348806775,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 54, 'kappa': 3.5481338923357533, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",39.73607961219606,7.461602666737648e-05
46169,2,8,-71990.06619455467,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 54, 'kappa': 3.5481338923357533, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",49.035892132430575,6.60146263795168e-05
46168,3,8,-72613.563884367,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 54, 'kappa': 3.5481338923357533, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",46.13110553937849,6.76877185523567e-05
46170,4,8,-73875.23758156532,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 54, 'kappa': 3.5481338923357533, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",49.649486526951705,6.353543782457151e-05
46172,5,8,-75365.39203498236,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 54, 'kappa': 3.5481338923357533, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",72392.55121833716,3.0020120935250008
47021,0,9,-75920.43115898405,-69172.55475510251,"{'random_state': RandomState(MT19937) at 0x128231540, 'i': 60, 'kappa': 3.1622776601683773, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",34009.51560709001,2.7095064215223075
