pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,VARIANCE_TUNE,LAYER1_TUNE
2900,1,3,-21171.49425495247,-21171.490136118548,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",844.9036038165992,1.9321162131770044,1.1944917800121113e-05,0.019336376953199768,59
2895,2,3,-21171.49013279431,-21171.49013279431,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",100.26653994246324,2.18457814463887,4.807320526855376e-05,0.016203827964602537,96
2896,3,3,-21172.09167895984,-21171.490136118548,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",117.46470515265231,1.9256725572114612,2.1439920515615348e-05,0.0726599686446568,17
2898,4,3,-21172.142234111365,-21171.490136118548,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",98.80645882452227,1.661002643429121,4.037459055526482e-05,0.10224974853433111,17
2897,5,3,-21171.531032549377,-21171.490136118548,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",120.20656708730746,1.9439440499357237,1.955374135759835e-05,0.06807671242629518,17
3448,0,4,-21171.49027958795,-21171.49013279431,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",119.00703345489951,74.16189056202953,1e-05,0.01,22
3445,1,4,-21171.490130646,-21171.490130646,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,0.01,256
3449,2,4,-21171.49013116358,-21171.490130646,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,0.01,256
3450,3,4,-21171.49046169636,-21171.490130646,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1e-05,0.01,256
3446,4,4,-21171.490130763053,-21171.490130646,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,0.01,256
3447,5,4,-21171.490315780306,-21171.490130646,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01000000000000001,1e-05,0.01,256
4015,0,5,-21171.49065915887,-21171.49013053942,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,0.01,256
4017,1,5,-21171.491134328986,-21171.49013053942,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,0.01,256
4012,2,5,-21171.490246011686,-21171.490130646,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,0.01,8
4014,3,5,-21171.49013630986,-21171.490130646,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,0.01,8
4013,4,5,-21171.49013086281,-21171.490130646,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1e-05,0.01,256
4016,5,5,-21171.49013053942,-21171.49013053942,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,0.01,256
4591,0,6,-21171.490310170993,-21171.49013053942,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",66.24768175472813,100.0,1e-05,0.01,256
4592,1,6,-21171.491040185792,-21171.49013053942,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,0.01,53
4590,2,6,-21171.49013060832,-21171.49013053942,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1e-05,0.01,256
4589,3,6,-21171.490130588092,-21171.49013053942,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1e-05,0.01,256
4588,4,6,-21171.490469202177,-21171.49013053942,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,0.01,52
4587,5,6,-21171.490171810026,-21171.49013053942,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 42, 'kappa': 1.9952623149688757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",2047.8713640193514,100.0,1e-05,0.01,256
5147,0,7,-21171.490130521568,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",37.73778845729607,0.14593675663462363,1e-05,0.01,256
5149,1,7,-21171.49013048681,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",100.28322270736429,100.0,1e-05,0.01,256
5148,2,7,-21171.490130793547,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10.028128443908335,100.0,1e-05,0.01,256
5144,3,7,-21171.490909338187,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10.0516321563498,100.0,1e-05,0.01,256
5146,4,7,-21171.490130148784,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1e-05,0.01,8
5145,5,7,-21171.49050790113,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10.121237359653259,100.0,1e-05,0.01,256
5723,0,8,-21171.491889851255,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,1.2911147396100717,1e-05,0.01,256
5721,1,8,-21171.49013058689,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",35.72333843288249,0.15185923070831844,1e-05,0.01,256
5725,2,8,-21171.490130617854,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",37.091689345685374,0.11330588536838562,1e-05,0.01,256
5726,3,8,-21171.490771153796,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",42.00594360992842,0.01,1e-05,0.01,256
5724,4,8,-21171.49013053078,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",40.210678902735715,0.01,1e-05,0.01,256
5722,5,8,-21171.490130503436,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",41.94050189287826,0.01,1e-05,0.01,256
6306,0,9,-21171.49048265761,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",11.768288152710614,4.2502489678475515,1e-05,0.01,59
6307,1,9,-21171.490130695915,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,1.3469015477732846,1e-05,0.01,256
6304,2,9,-21171.490371153304,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,1.3483281507446476,1e-05,0.01,256
6308,3,9,-21171.49013045534,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,1.3487122211160734,1e-05,0.01,256
6305,4,9,-21171.490391271313,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,1.3347295703097477,1e-05,0.01,256
6303,5,9,-21171.49013071283,-21171.490130148784,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,1.3279690858824793,1e-05,0.01,256
