pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,VARIANCE_TUNE,LAYER1_TUNE
5111,6,4,-8502.385584586116,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 40, 'kappa': 3.1622776601683724, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",574.3547797917729,0.9429927406947816,0.7241761580389601,0.053472636530386315,19
5112,7,4,-6513.094932027665,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 40, 'kappa': 3.1622776601683724, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",53.45127290741618,2.2865314202880676,9.705738450091216e-05,0.014827407656248928,117
6024,0,5,-9695.829214844938,-4655.7414321048145,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 48, 'kappa': 2.511886431509573, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",478.5421552009215,1.1142287550530325,0.6828598001047461,0.05993746069206948,20
6023,1,5,-10070.223170548834,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 48, 'kappa': 2.511886431509573, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",427.04219926056373,1.1175062498675052,0.2612234452721422,0.0687131567566633,18
6020,2,5,-8462.84235725989,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 48, 'kappa': 2.511886431509573, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",485.1161189070718,1.1047988655104914,0.661220008052963,0.05915358751269069,20
6025,3,5,-6805.429764831552,-4655.7414321048145,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 48, 'kappa': 2.511886431509573, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",369.66516270370323,1.0636625566689515,0.23330918194878153,0.06599571363823907,18
6022,4,5,-8973.311838720794,-4655.7414321048145,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 48, 'kappa': 2.511886431509573, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",490.1820493909914,1.0996660924840496,0.6555169594003533,0.05960063815323377,20
6019,5,5,-6459.396162316882,-4655.7414321048145,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 48, 'kappa': 2.511886431509573, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",390.80017352886676,1.1688147506346704,0.2420584585992002,0.08265984222259706,18
6021,6,5,-6548.619200199451,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 48, 'kappa': 2.511886431509573, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",79.0730592665133,1.8918704468820295,8.718918820704008e-05,0.013202975186462252,110
6018,7,5,-4655.7414321048145,-4655.7414321048145,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 48, 'kappa': 2.511886431509573, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",571.09858689201,0.9991885068952715,0.6558898576585526,0.052044741103344686,20
