pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,LAYER1_TUNE,LAYER2_TUNE
37636,1,7,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1e-05,256,8
37637,2,7,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1e-05,256,8
37633,3,7,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,8,256
37632,4,7,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1e-05,256,8
37635,5,7,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 48, 'kappa': 1.5848931924611098, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1e-05,256,8
38562,0,8,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,0.9999999999999998,256,256
38560,1,8,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1.0,256,8
38565,2,8,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1.0,256,256
38564,3,8,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.01,1e-05,256,256
38563,4,8,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1.0,256,256
38561,5,8,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 54, 'kappa': 1.2589254117941642, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1.0,256,8
39567,0,9,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1.0,8,256
39568,1,9,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1.0,8,256
39565,2,9,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1.0,8,256
39563,3,9,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,0.01,1.0,256,8
39566,4,9,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1.0,8,256
39564,5,9,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 60, 'kappa': 0.9999999999999971, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1.0,8,256
